,Unnamed: 0,Lokasyonlar,Urunler,Adresler,item_new_number
0,0,0,653,C01A01A,901991807
1,1,1,113,C01B01A,901027909
2,2,2,2066,C01A01B,906220208
3,3,3,3254,C01B01B,913420103
4,4,4,2065,C01A01C,906220108
5,5,5,476,C01B01C,901611407
6,6,6,2855,C01A03A,911130903
7,7,7,3484,C01B03A,919850507
8,8,8,1415,C01A03B,903964205
9,9,9,1850,C01B03B,905339308
10,10,10,792,C01A03C,902271808
11,11,11,825,C01B03C,902358206
12,12,12,41,C01A05A,901008401
13,13,13,3150,C01B05A,913040104
14,14,14,435,C01A05B,901374207
15,15,15,151,C01B05B,901075807
16,16,16,3547,C01A05C,920064116
17,17,17,1295,C01B05C,903574709
18,18,18,1490,C01A07A,904044505
19,19,19,3866,C01B07A,942014516
20,20,20,3820,C01A07B,932176903
21,21,21,3298,C01B07B,913642307
22,22,22,2763,C01A07C,911007507
23,23,23,948,C01B07C,903002309
24,24,24,1410,C01A09A,903963705
25,25,25,968,C01B09A,903020805
26,26,26,3398,C01A09B,916021107
27,27,27,3230,C01B09B,913395004
28,28,28,2073,C01A09C,906227608
29,29,29,1118,C01B09C,903130206
30,30,30,1861,C01A11A,905408708
31,31,31,3194,C01B11A,913292103
32,32,32,2019,C01A11B,906165408
33,33,33,971,C01B11B,903021105
34,34,34,2002,C01A11C,906070408
35,35,35,398,C01B11C,901297306
36,36,36,3572,C01A13A,920096116
37,37,37,1427,C01B13A,903993507
38,38,38,1316,C01A13B,903703507
39,39,39,2492,C01B13B,909002205
40,40,40,3226,C01A13C,913370104
41,41,41,3621,C01B13C,920985907
42,42,42,2199,C01A15A,907509501
43,43,43,2297,C01B15A,908070907
44,44,44,21,C01A15B,901002607
45,45,45,26,C01B15B,901003806
46,46,46,2547,C01A15C,909642405
47,47,47,2920,C01B15C,911236404
48,48,48,15,C01A17A,901002207
49,49,49,2111,C01B17A,906999008
50,50,50,2062,C01A17B,906219609
51,51,51,1527,C01B17B,904065507
52,52,52,3431,C01A17C,916200604
53,53,53,98,C01B17C,901018907
54,54,54,2446,C01A19A,908972208
55,55,55,1598,C01B19A,904114005
56,56,56,2625,C01A19B,909913205
57,57,57,110,C01B19B,901026112
58,58,58,1912,C01A19C,905604407
59,59,59,253,C01B19C,901120605
60,60,60,1480,C01A21A,904032405
61,61,61,1511,C01B21A,904058207
62,62,62,2419,C01A21B,908968908
63,63,63,99,C01B21B,901019107
64,64,64,1468,C01A21C,904023305
65,65,65,1214,C01B21C,903452307
66,66,66,3227,C01A23A,913370204
67,67,67,771,C01B23A,902165146
68,68,68,165,C01A23B,901093507
69,69,69,3105,C01B23B,912211207
70,70,70,383,C01A23C,901252507
71,71,71,3837,C01B23C,940086816
72,72,72,3797,C01A25A,930104403
73,73,73,2786,C01B25A,911015207
74,74,74,893,C01A25B,902537205
75,75,75,169,C01B25B,901095007
76,76,76,2804,C01A25C,911032304
77,77,77,662,C01B25C,902000007
78,78,78,2276,C01A27A,908005607
79,79,79,3857,C01B27A,941130703
80,80,80,2894,C01A27B,911212809
81,81,81,511,C01B27B,901631506
82,82,82,2745,C01A27C,911003008
83,83,83,1661,C01B27C,904479705
84,84,84,1716,C01A02A,904992701
85,85,85,2040,C01B02A,906215809
86,86,86,146,C01A02B,901070508
87,87,87,1424,C01B02B,903989107
88,88,88,1688,C01A02C,904679405
89,89,89,2916,C01B02C,911215509
90,90,90,1513,C01A04A,904059308
91,91,91,1004,C01B04A,903031505
92,92,92,2101,C01A04B,906655305
93,93,93,1677,C01B04B,904651105
94,94,94,3103,C01A04C,912140203
95,95,95,3863,C01B04C,942003516
96,96,96,928,C01A06A,902960007
97,97,97,1473,C01B06A,904029105
98,98,98,29,C01A06B,901004207
99,99,99,3670,C01B06B,922269703
100,100,100,1875,C01A06C,905482008
101,101,101,2110,C01B06C,906998908
102,102,102,1739,C01A08A,905006209
103,103,103,967,C01B08A,903020705
104,104,104,3190,C01A08B,913216403
105,105,105,236,C01B08B,901117901
106,106,106,1324,C01A08C,903708207
107,107,107,3300,C01B08C,913643007
108,108,108,972,C01A10A,903021205
109,109,109,1001,C01B10A,903028505
110,110,110,3759,C01A10B,929074116
111,111,111,49,C01B10B,901010107
112,112,112,33,C01A10C,901005107
113,113,113,273,C01B10C,901123106
114,114,114,2828,C01A12A,911108304
115,115,115,1247,C01B12A,903525008
116,116,116,1999,C01A12B,906055208
117,117,117,11,C01B12B,901002101
118,118,118,2799,C01A12C,911028007
119,119,119,3709,C01B12C,924293103
120,120,120,953,C01A14A,903004105
121,121,121,399,C01B14A,901297406
